LECROYWS44MXs-B,57124,Waveform
Segments,1,SegmentSize,10001
Segment,TrigTime,TimeSinceSegment1
#1,14-Dec-2021 16:14:19,0                 
Time,Ampl
-2e-005,20.7738
-1.998e-005,16.619
-1.996e-005,19.9056
-1.994e-005,18.4794
-1.992e-005,17.9833
-1.99e-005,18.0453
-1.988e-005,22.5101
-1.986e-005,18.0453
-1.984e-005,16.8671
-1.982e-005,20.0296
-1.98e-005,19.0375
-1.978e-005,20.8978
-1.976e-005,16.619
-1.974e-005,17.7352
-1.972e-005,19.5335
-1.97e-005,19.5956
-1.968e-005,21.5179
-1.966e-005,15.0067
-1.964e-005,24.2464
-1.962e-005,14.4486
-1.96e-005,25.9207
-1.958e-005,11.9062
-1.956e-005,24.1224
-1.954e-005,18.1073
-1.952e-005,19.9676
-1.95e-005,18.6034
-1.948e-005,17.5492
-1.946e-005,19.7196
-1.944e-005,17.3632
-1.942e-005,20.3397
-1.94e-005,16.743
-1.938e-005,17.2391
-1.936e-005,21.828
-1.934e-005,18.4794
-1.932e-005,18.6034
-1.93e-005,18.8514
-1.928e-005,19.9056
-1.926e-005,19.2855
-1.924e-005,18.9134
-1.922e-005,16.495
-1.92e-005,19.4715
-1.918e-005,19.6576
-1.916e-005,20.2777
-1.914e-005,15.8129
-1.912e-005,16.743
-1.91e-005,20.9598
-1.908e-005,21.2078
-1.906e-005,14.7587
-1.904e-005,18.4173
-1.902e-005,18.5414
-1.9e-005,22.7581
-1.898e-005,19.0375
-1.896e-005,18.7274
-1.894e-005,19.4095
-1.892e-005,22.8822
-1.89e-005,15.6888
-1.888e-005,21.2699
-1.886e-005,12.4023
-1.884e-005,29.0833
-1.882e-005,14.0766
-1.88e-005,20.0296
-1.878e-005,16.2469
-1.876e-005,21.3319
-1.874e-005,20.5257
-1.872e-005,15.6888
-1.87e-005,18.6034
-1.868e-005,17.1151
-1.866e-005,23.0062
-1.864e-005,17.7352
-1.862e-005,17.4252
-1.86e-005,16.0609
-1.858e-005,23.0062
-1.856e-005,21.3939
-1.854e-005,16.2469
-1.852e-005,18.6034
-1.85e-005,16.557
-1.848e-005,23.3162
-1.846e-005,18.2933
-1.844e-005,18.7274
-1.842e-005,15.3788
-1.84e-005,21.2699
-1.838e-005,20.3397
-1.836e-005,17.4252
-1.834e-005,15.0067
-1.832e-005,21.0218
-1.83e-005,18.4794
-1.828e-005,19.0995
-1.826e-005,20.6497
-1.824e-005,14.8827
-1.822e-005,27.9051
-1.82e-005,11.3481
-1.818e-005,24.5565
-1.816e-005,12.4023
-1.814e-005,25.3626
-1.812e-005,19.7196
-1.81e-005,16.1849
-1.808e-005,16.0609
-1.806e-005,20.0296
-1.804e-005,24.4324
-1.802e-005,11.224
-1.8e-005,19.0995
-1.798e-005,14.0145
-1.796e-005,23.6883
-1.794e-005,16.619
-1.792e-005,19.2855
-1.79e-005,16.371
-1.788e-005,20.5257
-1.786e-005,22.3241
-1.784e-005,15.6888
-1.782e-005,16.9291
-1.78e-005,20.3397
-1.778e-005,19.9056
-1.776e-005,17.2391
-1.774e-005,18.7274
-1.772e-005,16.9911
-1.77e-005,20.2777
-1.768e-005,19.3475
-1.766e-005,18.4794
-1.764e-005,16.9911
-1.762e-005,18.7894
-1.76e-005,20.7118
-1.758e-005,17.6732
-1.756e-005,18.3553
-1.754e-005,18.4794
